Name,Nom,Growth,Soil,Sunlight,Watering,Fertilization,Life_cycle,Type_subshrub,Type_climbing,Type_succulent,Type_tree,Type_epiphytic,Type_shrub,Type_herbaceous,Usage_industrial,Usage_ornamental,Usage_aromatic,Usage_medicinal,Usage_melliferae,Usage_fodder,Usage_vegetable,Usage_fruit,Usage_spice,Usage_oil
gazania,Gazania,2,0,2,1,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
geranium,Géranium,1,3,2,1,4,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
gerbera daisy,Gerbera,1,3,2,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
ginkgo,Ginkgo,0,2,2,1,4,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
morning glory,Gloire du matin,2,3,2,0,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
wisteria,Glycine,0,3,2,3,4,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
guava,Goyave,1,3,2,3,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
feverfew,Grande camomille,1,0,2,0,4,2,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
pomegranate,Grenadier,1,3,2,3,4,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
currant,Groseille,1,1,2,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
guar,Guar,2,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
gul mohar (flame tree),Gul mohar (arbre flamboyant),1,0,2,3,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
green bean,Haricot vert,2,3,2,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
haworthia,Haworthia,0,0,0,1,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
helenium,Hélénie,1,0,2,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
heliopsis,Héliopsis,1,2,2,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
heliotrope,Héliotrope,1,3,2,3,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
daylily,Hémérocalle,2,0,2,3,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
indian grass,Herbe des indiens,1,2,2,1,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
zebra grass,Herbe zébrée,1,3,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
zoysia grass,Herbe zoysia,0,0,2,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
coral bells,Heuchère,1,3,1,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
hibiscus,Hibiscus,1,3,2,1,4,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
bigleaf hydrangea,Hortensia à grandes feuilles,1,1,2,2,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
hosta,Hosta,1,3,1,0,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
hops,Houblon,2,3,2,3,4,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
holly,Houx,0,1,1,0,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
hoya (wax plant),Hoya (fleur de cire),0,0,0,1,4,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
goldenseal,Hydraste du Canada,0,4,1,2,4,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
